departement,nb_people
80,4926
21,4543
51,3959
14,3849
55,3838
70,3577
62,3379
39,3270
76,3256
57,3141
52,2997
64,2883
31,2657
65,2648
27,2555
54,2519
25,2385
60,2370
28,2350
88,2254
10,2183
71,2116
50,2097
24,2058
22,2034
33,1979
67,1872
32,1849
11,1802
61,1740
16,1597
17,1546
72,1454
82,1445
38,1399
26,1328
23,1257
89,1236
45,1208
41,1185
81,1179
77,1144
46,1137
63,1079
40,1026
42,1016
59,999
49,990
68,940
12,929
74,925
79,893
58,876
43,871
84,842
83,838
73,819
47,812
34,808
18,796
15,776
36,747
30,742
19,741
35,739
86,739
69,736
2B,674
53,634
98,623
37,571
91,540
48,529
66,497
85,490
56,436
29,401
13,366
87,361
78,359
2A,344
95,338
44,278
93,278
90,232
92,221
97,124
94,102
96,48
75,26
